epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,255.246,0.75743,0.80297,1.07146,0.65718,0.63041,0.68912,0.36649,1.53208,1.17474,1.63687,0.000144942,0.000144942,0.000144942
62,259.389,0.77125,0.82095,1.08004,0.66197,0.61515,0.6907,0.37163,1.50679,1.16553,1.62556,0.000141408,0.000141408,0.000141408
63,263.512,0.7647,0.80859,1.061,0.68129,0.64481,0.68466,0.37305,1.52837,1.1349,1.69171,0.000137873,0.000137873,0.000137873
64,267.625,0.75325,0.79334,1.0601,0.63765,0.63798,0.67344,0.37732,1.47394,1.14792,1.61833,0.000134339,0.000134339,0.000134339
65,271.725,0.74212,0.80906,1.06041,0.62117,0.6159,0.66162,0.3708,1.45471,1.16262,1.59907,0.000130805,0.000130805,0.000130805
66,275.884,0.75376,0.8192,1.07387,0.77147,0.56432,0.6731,0.37567,1.47454,1.17535,1.61064,0.000127271,0.000127271,0.000127271
67,280.029,0.73093,0.80295,1.06731,0.76004,0.561,0.68551,0.37605,1.49622,1.1745,1.62594,0.000123736,0.000123736,0.000123736
68,284.085,0.74248,0.8332,1.0656,0.65962,0.62507,0.69191,0.37752,1.48942,1.16636,1.62238,0.000120202,0.000120202,0.000120202
69,288.162,0.76392,0.8033,1.06369,0.66743,0.63679,0.69684,0.38184,1.52802,1.16183,1.67352,0.000116668,0.000116668,0.000116668
70,292.383,0.77126,0.79539,1.07688,0.66435,0.6406,0.69513,0.37695,1.52947,1.1643,1.66668,0.000113133,0.000113133,0.000113133
71,296.495,0.73233,0.79439,1.07259,0.66871,0.63906,0.69097,0.3758,1.49904,1.15898,1.61857,0.000109599,0.000109599,0.000109599
72,300.596,0.7247,0.76055,1.04914,0.67064,0.63015,0.6885,0.3778,1.48947,1.165,1.62053,0.000106065,0.000106065,0.000106065
73,304.756,0.70654,0.75835,1.06137,0.68217,0.63282,0.6827,0.37861,1.4789,1.17428,1.59714,0.00010253,0.00010253,0.00010253
74,308.876,0.76934,0.78362,1.07353,0.66615,0.63326,0.67892,0.37452,1.49278,1.17317,1.61406,9.89961e-05,9.89961e-05,9.89961e-05
75,312.972,0.70768,0.80151,1.05807,0.6419,0.64152,0.68096,0.36749,1.48568,1.16091,1.60138,9.54618e-05,9.54618e-05,9.54618e-05
76,317.095,0.72508,0.75697,1.06857,0.77023,0.55583,0.68355,0.37033,1.48241,1.16843,1.59282,9.19275e-05,9.19275e-05,9.19275e-05
77,321.145,0.71302,0.74644,1.05779,0.64496,0.6506,0.68117,0.37542,1.50919,1.17509,1.62824,8.83932e-05,8.83932e-05,8.83932e-05
78,325.237,0.70642,0.75006,1.04284,0.63349,0.64762,0.68197,0.37424,1.5164,1.17188,1.64592,8.48589e-05,8.48589e-05,8.48589e-05
79,329.304,0.73445,0.76911,1.06653,0.63744,0.6479,0.68153,0.36947,1.52606,1.17157,1.66137,8.13246e-05,8.13246e-05,8.13246e-05
80,333.385,0.71294,0.76287,1.05475,0.64592,0.65104,0.68268,0.36914,1.52379,1.16818,1.65056,7.77903e-05,7.77903e-05,7.77903e-05
81,337.448,0.69256,0.73904,1.0362,0.63188,0.64881,0.67306,0.36498,1.53014,1.14256,1.67058,7.4256e-05,7.4256e-05,7.4256e-05
82,341.543,0.72197,0.73465,1.06196,0.64562,0.64987,0.66978,0.36352,1.53248,1.13062,1.69412,7.07217e-05,7.07217e-05,7.07217e-05
83,345.677,0.70358,0.73439,1.04269,0.64022,0.64768,0.66812,0.36588,1.52076,1.13348,1.69611,6.71874e-05,6.71874e-05,6.71874e-05
84,349.72,0.70236,0.7447,1.03843,0.65212,0.64118,0.67495,0.36138,1.52512,1.13258,1.7097,6.36531e-05,6.36531e-05,6.36531e-05
85,353.762,0.69023,0.74274,1.0444,0.64305,0.63559,0.66047,0.35616,1.52863,1.12612,1.70337,6.01188e-05,6.01188e-05,6.01188e-05
86,357.796,0.69629,0.71932,1.03846,0.64539,0.63587,0.6644,0.35702,1.51729,1.14152,1.67962,5.65845e-05,5.65845e-05,5.65845e-05
87,361.923,0.71238,0.77421,1.06125,0.67246,0.6483,0.67694,0.36456,1.5091,1.1482,1.66884,5.30502e-05,5.30502e-05,5.30502e-05
88,366.013,0.67746,0.7252,1.04996,0.66185,0.65164,0.67948,0.36572,1.50293,1.1501,1.66475,4.95159e-05,4.95159e-05,4.95159e-05
